,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,tripple_doubles,G-accum,GS-accum,MP-accum,FG-accum,FGA-accum,FG%-accum,3P-accum,3PA-accum,3P%-accum,2P-accum,2PA-accum,2P%-accum,eFG%-accum,FT-accum,FTA-accum,FT%-accum,ORB-accum,DRB-accum,TRB-accum,AST-accum,STL-accum,BLK-accum,TOV-accum,PF-accum,PTS-accum,tripple_doubles-accum,G-total,GS-total,MP-total,FG-total,FGA-total,FG%-total,3P-total,3PA-total,3P%-total,2P-total,2PA-total,2P%-total,eFG%-total,FT-total,FTA-total,FT%-total,ORB-total,DRB-total,TRB-total,AST-total,STL-total,BLK-total,TOV-total,PF-total,PTS-total,tripple_doubles-total,G-pct,GS-pct,MP-pct,FG-pct,FGA-pct,FG%-pct,3P-pct,3PA-pct,3P%-pct,2P-pct,2PA-pct,2P%-pct,eFG%-pct,FT-pct,FTA-pct,FT%-pct,ORB-pct,DRB-pct,TRB-pct,AST-pct,STL-pct,BLK-pct,TOV-pct,PF-pct,PTS-pct,tripple_doubles-pct
0,2003-04,19,CLE,NBA,SG,79,79,3122.0,622,1492.0,0.417,63,217.0,0.29,559.0,1275.0,0.438,0.438,347,460.0,0.754,99,333,432,465,130,58,273,149.0,1654.0,0.0,79,79,3122.0,622,1492.0,0.417,63,217.0,0.29,559.0,1275.0,0.438,0.438,347,460.0,0.754,99,333,432,465,130,58,273,149.0,1654.0,0.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.059353869271224644,0.059398496240601506,0.06142042101121385,0.04742299481549253,0.05734491505880544,0.04333818332986905,0.030973451327433628,0.03679837205358657,0.044241037376048814,0.0504421584551525,0.06336663187714328,0.04129737884216482,0.04210728706018073,0.04527661795407098,0.04404442742244351,0.05424460431654677,0.06374758531873792,0.039932845664947834,0.043671653861706426,0.047289738635207974,0.06196377502383222,0.05782652043868395,0.0584958217270195,0.06099058534588621,0.046033954912329526,0.0
1,2004-05,20,CLE,NBA,SF,80,80,3388.0,795,1684.0,0.472,108,308.0,0.351,687.0,1376.0,0.499,0.504,477,636.0,0.75,111,477,588,577,177,52,262,146.0,2175.0,4.0,159,159,6510.0,1417,3176.0,0.889,171,525.0,0.641,1246.0,2651.0,0.937,0.942,824,1096.0,1.504,210,810,1020,1042,307,110,535,295.0,3829.0,4.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.06010518407212622,0.06015037593984962,0.06665355105252803,0.06061299176578225,0.06472442155430856,0.04905425067553523,0.05309734513274336,0.05222994743089707,0.05354691075514873,0.06199242014076881,0.06838626310819541,0.04704884027908732,0.048452220726783304,0.062239039665970775,0.06089620834929146,0.053956834532374105,0.07147456535737283,0.05720110324979014,0.059441973311767086,0.058679955252720434,0.08436606291706387,0.0518444666001994,0.0561388472251982,0.059762586983217354,0.06053437239075981,0.039603960396039604
2,2005-06,21,CLE,NBA,SF,79,79,3361.0,875,1823.0,0.48,127,379.0,0.335,748.0,1444.0,0.518,0.515,601,814.0,0.738,75,481,556,521,123,66,260,181.0,2478.0,5.0,238,238,9871.0,2292,4999.0,1.369,298,904.0,0.976,1994.0,4095.0,1.455,1.4569999999999999,1425,1910.0,2.242,285,1291,1576,1563,430,176,795,476.0,6307.0,9.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.059353869271224644,0.059398496240601506,0.06612236867991343,0.06671241232082951,0.0700668767776155,0.04988567865308668,0.0624385447394297,0.06426996778022723,0.051106025934401215,0.06749684172532033,0.07176581680830972,0.048840279087309084,0.04950970967121707,0.07841858037578288,0.07793948678667177,0.05309352517985612,0.04829362524146812,0.05768077707159132,0.05620703598867772,0.0529848469439642,0.05862726406101049,0.06580259222333001,0.055710306406685235,0.07408923454768727,0.06896743668243807,0.04950495049504951
3,2006-07,22,CLE,NBA,SF,78,78,3190.0,772,1621.0,0.476,99,310.0,0.319,673.0,1311.0,0.513,0.507,489,701.0,0.698,83,443,526,470,125,55,250,171.0,2132.0,1.0,316,316,13061.0,3064,6620.0,1.845,397,1214.0,1.295,2667.0,5406.0,1.968,1.964,1914,2611.0,2.94,368,1734,2102,2033,555,231,1045,647.0,8439.0,10.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.058602554470323066,0.058646616541353384,0.06275821365335432,0.058859408356206164,0.062303020985471594,0.04946996466431095,0.048672566371681415,0.0525691029336951,0.04866514111365369,0.060729110268904526,0.06515580736543909,0.04836884782198756,0.04874062680253797,0.06380480167014614,0.06711987744159326,0.0502158273381295,0.05344494526722473,0.053123875764480154,0.05317428224828144,0.04779823044848978,0.05958055290753098,0.054835493519441676,0.05356760231412042,0.06999590667212444,0.05933760089062065,0.009900990099009901
4,2007-08,23,CLE,NBA,SF,75,74,3027.0,794,1642.0,0.484,113,359.0,0.315,681.0,1283.0,0.531,0.518,549,771.0,0.712,133,459,592,539,138,81,255,165.0,2250.0,7.0,391,390,16088.0,3858,8262.0,2.3289999999999997,510,1573.0,1.6099999999999999,3348.0,6689.0,2.499,2.482,2463,3382.0,3.652,501,2193,2694,2572,693,312,1300,812.0,10689.0,17.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.056348610067618335,0.055639097744360905,0.059551445996458785,0.06053674900884416,0.06311015450841725,0.0503013926418624,0.05555555555555555,0.0608784127522469,0.04805491990846682,0.06145100162425555,0.06376422643009791,0.05006600037714502,0.04979811574697173,0.07163361169102296,0.07382229031022597,0.05122302158273381,0.08564069542820348,0.055042571051684856,0.05984634047715325,0.054815417471778705,0.0657769304099142,0.08075772681954138,0.05463895436040283,0.06753990994678674,0.06262176454216532,0.06930693069306931
5,2008-09,24,CLE,NBA,SF,81,81,3054.0,789,1613.0,0.489,132,384.0,0.344,657.0,1229.0,0.535,0.53,594,762.0,0.78,106,507,613,587,137,93,241,139.0,2304.0,7.0,472,471,19142.0,4647,9875.0,2.8179999999999996,642,1957.0,1.9539999999999997,4005.0,7918.0,3.0340000000000003,3.0120000000000005,3057,4144.0,4.432,607,2700,3307,3159,830,405,1541,951.0,12993.0,24.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.0608564988730278,0.06090225563909774,0.06008262836907338,0.060155535224153706,0.061995541548158964,0.05082103512783205,0.06489675516224189,0.06511785653722231,0.05247902364607169,0.05928532755820249,0.06108046319765419,0.050443145389402234,0.05095174004999038,0.07750521920668059,0.07296055151283033,0.056115107913669075,0.06825499034127495,0.06079865691329896,0.06196926809543065,0.059696938879284046,0.06530028598665395,0.09272183449651047,0.05163916863081208,0.05689725747032337,0.06412468689117728,0.06930693069306931
6,2009-10,25,CLE,NBA,SF,76,76,2966.0,768,1528.0,0.503,129,387.0,0.333,639.0,1141.0,0.56,0.545,593,773.0,0.767,71,483,554,651,125,77,261,119.0,2258.0,4.0,548,547,22108.0,5415,11403.0,3.3209999999999997,771,2344.0,2.287,4644.0,9059.0,3.5940000000000003,3.5570000000000004,3650,4917.0,5.199000000000001,678,3183,3861,3810,955,482,1802,1070.0,15251.0,28.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05709992486851991,0.05714285714285714,0.05835136730277395,0.0585544373284538,0.05872857252671228,0.05227603408854708,0.06342182890855458,0.06562658979141936,0.05080091533180778,0.057661072008662696,0.056706923115153324,0.05280030171600982,0.0523937704287637,0.07737473903966598,0.07401378782075833,0.05517985611510792,0.04571796522858983,0.0579206139824919,0.056004852405984636,0.06620563408929116,0.05958055290753098,0.07676969092721835,0.05592457681594172,0.04871060171919771,0.0628444197049819,0.039603960396039604
7,2010-11,26,MIA,NBA,SF,79,79,3063.0,758,1485.0,0.51,92,279.0,0.33,666.0,1206.0,0.552,0.541,503,663.0,0.759,80,510,590,554,124,50,284,163.0,2111.0,4.0,627,626,25171.0,6173,12888.0,3.8309999999999995,863,2623.0,2.617,5310.0,10265.0,4.146000000000001,4.098000000000001,4153,5580.0,5.958000000000001,758,3693,4451,4364,1079,532,2086,1233.0,17362.0,32.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.059353869271224644,0.059398496240601506,0.06025968915994492,0.057792009759072886,0.05707587055115689,0.053003533568904596,0.04523107177974434,0.04731219264032559,0.05034324942791762,0.06009745533297239,0.059937378857909646,0.05204601169149539,0.052009228994424145,0.06563152400835073,0.06348142474147836,0.054604316546762593,0.051513200257566,0.06115841227964984,0.05964415689446017,0.05634089291162412,0.05910390848427073,0.049850448654037885,0.060852796228840794,0.06672124437167418,0.058753131088227106,0.039603960396039604
8,2011-12,27,MIA,NBA,SF,62,62,2326.0,621,1169.0,0.531,54,149.0,0.362,567.0,1020.0,0.556,0.554,387,502.0,0.771,94,398,492,387,115,50,213,96.0,1683.0,0.0,689,688,27497.0,6794,14057.0,4.361999999999999,917,2772.0,2.979,5877.0,11285.0,4.702000000000001,4.652000000000001,4540,6082.0,6.729000000000001,852,4091,4943,4751,1194,582,2299,1329.0,19045.0,32.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.04658151765589782,0.04661654135338346,0.04576037772968719,0.04734675205855444,0.044930432777308016,0.05518603200997714,0.02654867256637168,0.02526708495845345,0.055225019069412656,0.05116404981050352,0.05069330550171463,0.05242315670375261,0.053258988656027684,0.05049582463465553,0.048065875143623135,0.05546762589928058,0.06052801030264005,0.04772754526921693,0.04973716134249899,0.039357266348011795,0.0548141086749285,0.049850448654037885,0.045639597171630596,0.03929594760540319,0.04684107987753966,0.0
9,2012-13,28,MIA,NBA,PF,76,76,2877.0,765,1354.0,0.565,103,254.0,0.406,662.0,1100.0,0.602,0.603,403,535.0,0.753,97,513,610,551,129,67,226,110.0,2036.0,4.0,765,764,30374.0,7559,15411.0,4.927,1020,3026.0,3.3850000000000002,6539.0,12385.0,5.304000000000001,5.255000000000001,4943,6617.0,7.482000000000001,949,4604,5553,5302,1323,649,2525,1439.0,21081.0,36.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05709992486851991,0.05714285714285714,0.056600432815266576,0.05832570905763952,0.052040894765162576,0.05871960091457077,0.05063913470993117,0.04307274885535018,0.06193745232646834,0.05973650965529688,0.05466925103126087,0.05676032434471055,0.05796962122668717,0.052583507306889356,0.051225584067407126,0.054172661870503604,0.062459755312298776,0.06151816764600072,0.061665992721391026,0.05603579782365504,0.061487130600571975,0.06679960119641076,0.04842511249196486,0.04502660663119116,0.0566657389368216,0.039603960396039604
10,2013-14,29,MIA,NBA,PF,77,77,2902.0,767,1353.0,0.567,116,306.0,0.379,651.0,1047.0,0.622,0.61,439,585.0,0.75,81,452,533,488,121,26,270,126.0,2089.0,1.0,842,841,33276.0,8326,16764.0,5.494,1136,3332.0,3.7640000000000002,7190.0,13432.0,5.926000000000001,5.865000000000001,5382,7202.0,8.232000000000001,1030,5056,6086,5790,1444,675,2795,1565.0,23170.0,37.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05785123966942149,0.05789473684210526,0.057092268345465276,0.05847819457151571,0.0520024598354985,0.05892745790895863,0.05703048180924287,0.051890791928099034,0.0578184591914569,0.058743909041689225,0.052035187117936484,0.05864604940599662,0.05864256873678138,0.05728079331941545,0.0560130218307162,0.053956834532374105,0.05215711526078558,0.0542031418635328,0.05388192478770724,0.04962880097630428,0.05767397521448999,0.0259222333000997,0.057853010499250054,0.05157593123209169,0.05814082939048149,0.009900990099009901
11,2014-15,30,CLE,NBA,SF,69,69,2493.0,624,1279.0,0.488,120,339.0,0.354,504.0,940.0,0.536,0.535,375,528.0,0.71,51,365,416,511,109,49,272,135.0,1743.0,2.0,911,910,35769.0,8950,18043.0,5.981999999999999,1256,3671.0,4.118,7694.0,14372.0,6.4620000000000015,6.400000000000001,5757,7730.0,8.942,1081,5421,6502,6301,1553,724,3067,1700.0,24913.0,39.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.051840721262208865,0.0518796992481203,0.04904583907141452,0.04757548032936871,0.04915827504035668,0.05071710663063812,0.058997050147492625,0.05748685772426658,0.05400457665903889,0.04547915538711424,0.04671735997216838,0.05053743164246654,0.05143241684291482,0.048930062630480164,0.050555342780543855,0.05107913669064749,0.032839665164198326,0.04377023623935724,0.04205418520016175,0.05196786331740059,0.051954242135367014,0.04885343968095713,0.05828155131776302,0.05525992632009824,0.04851099359866407,0.019801980198019802
12,2015-16,31,CLE,NBA,SF,76,76,2709.0,737,1416.0,0.52,87,282.0,0.309,650.0,1134.0,0.573,0.551,359,491.0,0.731,111,454,565,514,104,49,249,143.0,1920.0,3.0,987,986,38478.0,9687,19459.0,6.501999999999999,1343,3953.0,4.4270000000000005,8344.0,15506.0,7.035000000000002,6.951000000000001,6116,8221.0,9.673,1192,5875,7067,6815,1657,773,3316,1843.0,26833.0,42.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05709992486851991,0.05714285714285714,0.053295298052331304,0.05619091186337298,0.05442386040433546,0.054042818540843904,0.04277286135693215,0.04782092589452264,0.0471395881006865,0.05865367262227035,0.056359027881318025,0.054026023005845754,0.052970582580273026,0.04684237995824635,0.047012638835695134,0.05258992805755396,0.07147456535737283,0.05444297877443339,0.057116862110796605,0.05227295840536968,0.04957102001906578,0.04885343968095713,0.05335333190486394,0.05853458862054851,0.05343723907598107,0.0297029702970297
13,2016-17,32,CLE,NBA,SF,74,74,2794.0,736,1344.0,0.548,124,342.0,0.363,612.0,1002.0,0.611,0.594,358,531.0,0.674,97,542,639,646,92,44,303,134.0,1954.0,13.0,1061,1060,41272.0,10423,20803.0,7.049999999999999,1467,4295.0,4.790000000000001,8956.0,16508.0,7.646000000000002,7.545000000000002,6474,8752.0,10.347,1289,6417,7706,7461,1749,817,3619,1977.0,28787.0,55.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05559729526671676,0.055639097744360905,0.05496753885500689,0.05611466910643489,0.051656545468521796,0.05695281646227396,0.06096361848574238,0.05799559097846362,0.05537757437070938,0.055224688684353006,0.049798717757566724,0.05760890062228928,0.05710440299942318,0.046711899791231734,0.050842589046342396,0.048489208633093535,0.062459755312298776,0.06499580285405925,0.06459765467044076,0.06569714227600935,0.0438512869399428,0.04386839481555334,0.06492393400471395,0.05485059353254196,0.054383523517951574,0.12871287128712872
14,2017-18,33,CLE,NBA,PF,82,82,3026.0,857,1580.0,0.542,149,406.0,0.367,708.0,1174.0,0.603,0.59,388,531.0,0.731,97,612,709,747,116,71,347,136.0,2251.0,18.0,1143,1142,44298.0,11280,22383.0,7.591999999999999,1616,4701.0,5.157000000000001,9664.0,17682.0,8.249000000000002,8.135000000000002,6862,9283.0,11.078,1386,7029,8415,8208,1865,888,3966,2113.0,31038.0,73.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.061607813673929375,0.061654135338345864,0.05953177257525084,0.06534004269594389,0.06072718886924437,0.056329245479110376,0.07325467059980334,0.06884856706800067,0.055987795575896254,0.06388738494856525,0.05834700064609115,0.05685461059777485,0.05671986156508363,0.050626304801670144,0.050842589046342396,0.05258992805755396,0.062459755312298776,0.07339009473557981,0.07167408006469875,0.07596867690430184,0.055290753098188754,0.0707876370887338,0.07435183201199914,0.05566925910765452,0.0626495964375174,0.1782178217821782
15,2018-19,34,LAL,NBA,SF,55,55,1937.0,558,1095.0,0.51,111,327.0,0.339,447.0,768.0,0.582,0.56,278,418.0,0.665,57,408,465,454,72,33,197,94.0,1505.0,8.0,1198,1197,46235.0,11838,23478.0,8.101999999999999,1727,5028.0,5.496000000000001,10111.0,18450.0,8.831000000000003,8.695000000000002,7140,9701.0,11.742999999999999,1443,7437,8880,8662,1937,921,4163,2207.0,32543.0,81.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.04132231404958678,0.041353383458646614,0.038107416879795394,0.042543458371454713,0.042086247982166196,0.053003533568904596,0.05457227138643068,0.05545192470747838,0.0517162471395881,0.040335679480238223,0.038169077083643956,0.05487459928342448,0.05383580080753701,0.03627348643006263,0.04002297970126388,0.04784172661870505,0.03670315518351577,0.04892672982371987,0.047007682976142336,0.046171056645988,0.034318398474737846,0.03290129611166501,0.04221127062352689,0.038477282030290626,0.04188700250487058,0.07920792079207921
16,2019-20,35,LAL,NBA,PG,67,67,2316.0,643,1303.0,0.493,148,425.0,0.348,495.0,878.0,0.564,0.55,264,381.0,0.693,66,459,525,684,78,36,261,118.0,1698.0,13.0,1265,1264,48551.0,12481,24781.0,8.594999999999999,1875,5453.0,5.844000000000001,10606.0,19328.0,9.395000000000003,9.245000000000003,7404,10082.0,12.435999999999998,1509,7896,9405,9346,2015,957,4424,2325.0,34241.0,94.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.05033809166040571,0.05037593984962406,0.045563643517607715,0.04902409271119244,0.05008071335229457,0.05123674911660778,0.0727630285152409,0.07207054434458199,0.05308924485125857,0.04466702761234434,0.043636002186770044,0.053177446728267026,0.05287444722168814,0.03444676409185804,0.036480275756415166,0.04985611510791367,0.04249839021249195,0.055042571051684856,0.0530731904569349,0.06956168005695108,0.037178265014299335,0.03589232303090728,0.05592457681594172,0.048301268931641425,0.04725855830782076,0.12871287128712872
17,2020-21,36,LAL,NBA,PG,45,45,1504.0,422,823.0,0.513,104,285.0,0.365,318.0,538.0,0.591,0.576,178,255.0,0.698,29,317,346,350,48,25,168,70.0,1126.0,5.0,1310,1309,50055.0,12903,25604.0,9.107999999999999,1979,5738.0,6.209000000000001,10924.0,19866.0,9.986000000000002,9.821000000000003,7582,10337.0,13.133999999999999,1538,8213,9751,9696,2063,982,4592,2395.0,35367.0,99.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.033809166040571,0.03383458646616541,0.029588825496753887,0.03217444342787435,0.031631947113536785,0.05331531906048639,0.051130776794493606,0.048329659148719686,0.055682684973302816,0.028695181375203032,0.026738233686198497,0.055723175561003216,0.0553739665448952,0.023225469728601254,0.02441593259287629,0.0502158273381295,0.018673535093367676,0.03801415037774313,0.03497775980590376,0.03559442692972643,0.022878932316491896,0.024925224327018942,0.03599742875508892,0.02865329512893983,0.03133871416643474,0.04950495049504951
18,2021-22,37,LAL,NBA,SF,21,21,775.0,213,414.0,0.514,55,159.0,0.346,158.0,255.0,0.62,0.581,82,107.0,0.766,15,126,141,137,35,21,75,48.0,563.0,2.0,1331,1330,50830.0,13116,26018.0,9.621999999999998,2034,5897.0,6.5550000000000015,11082.0,20121.0,10.606000000000002,10.402000000000003,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,1331,1330,50830.0,13116,26018.0,9.622,2034,5897.0,6.555000000000001,11082.0,20121.0,10.605999999999998,10.402000000000001,7664,10444.0,13.899999999999999,1553,8339,9892,9833,2098,1003,4667,2443.0,35930.0,101.0,0.015777610818933134,0.015789473684210527,0.015246901436159747,0.016239707227813358,0.01591206088092859,0.053419247557680315,0.02704031465093412,0.026962862472443616,0.052784134248665134,0.01425735426818264,0.012673326375428657,0.05845747689986801,0.05585464333781964,0.01069937369519833,0.010245116813481425,0.055107913669064756,0.009658725048293626,0.015109725386737018,0.014253942579862516,0.01393267568392149,0.016682554814108675,0.020937188434695914,0.016070280694236126,0.019647973802701595,0.01566935708321737,0.019801980198019802
